title,release_date,runtime,budget,revenue,original_language,rating,num_votes
Caddyshack,1980-07-25,98,6000000,39846344,en,7.3,100185
Call Me by Your Name,2017-09-01,132,4000000,41063475,en,7.9,177051
Cape Fear,1991-11-15,128,35000000,182300000,en,7.3,161052
Capote,2005-09-30,114,7000000,49084830,en,7.3,120243
Captain America: Civil War,2016-04-27,147,240000000,1153304495,en,7.8,620464
Captain America: The First Avenger,2011-07-22,124,140000000,370569774,en,6.9,700373
Captain America: The Winter Soldier,2014-03-20,136,170000000,714766572,en,7.7,697831
Captain Fantastic,2016-07-02,119,5000000,5879736,en,7.9,170452
Captain Marvel,2019-03-06,124,152000000,1128274794,en,6.9,394203
Captain Phillips,2013-10-10,134,55000000,95000000,en,7.8,399875
Carlito's Way,1993-11-10,144,30000000,36516012,en,7.9,190888
Carnage,2011-09-16,80,25000000,27603069,en,7.2,114545
Carrie,1976-11-03,98,1800000,33800000,en,7.4,158896
Carrie,2013-10-16,100,30000000,82394288,en,5.9,128684
Cars,2006-06-08,117,120000000,461983149,en,7.1,345163
Cars 2,2011-06-11,106,200000000,559852396,en,6.1,147797
Casablanca,1942-01-23,102,878000,10462500,en,8.5,493783
Casino,1995-11-22,179,52000000,116112375,en,8.2,434406
Casino Royale,2006-11-14,144,150000000,599045960,en,8.0,554593
Casper,1995-05-26,100,50000000,287928194,en,6.1,112704
Cast Away,2000-12-22,143,90000000,429632142,en,7.8,491018
Catch Me If You Can,2002-12-25,141,52000000,352114312,en,8.1,761186
Catwoman,2004-07-22,104,100000000,82102379,en,3.3,105947
Central Intelligence,2016-06-15,107,50000000,216972543,en,6.3,147720
Changeling,2008-01-30,141,55000000,113020255,en,7.7,227806
Chappie,2015-03-04,120,49000000,104399548,en,6.8,219900
Charlie Wilson's War,2007-12-19,102,75000000,119000410,en,7.0,104923
Charlie and the Chocolate Factory,2005-07-13,115,150000000,474968763,en,6.6,403470
Charlie's Angels,2000-11-02,98,92000000,264105545,en,5.5,169147
Charlie's Angels: Full Throttle,2003-06-27,106,120000000,259175788,en,4.9,116492
Chasing Amy,1997-04-04,114,250000,12021272,en,7.2,128261
Chef,2014-05-08,114,11000000,45967935,en,7.3,182414
Chicago,2002-12-26,113,45000000,306776732,en,7.1,207098
Chicken Run,2000-06-21,84,45000000,224834564,en,7.0,169296
Children of Men,2006-09-22,109,76000000,69959751,en,7.9,441363
Chinatown,1974-06-20,130,6000000,30000000,en,8.2,276326
Chocolat,2000-12-14,121,25000000,152500343,en,7.2,171927
Chronicle,2012-02-01,84,15000000,145000000,en,7.0,233509
Cinderella,2015-03-12,105,95000000,543514353,en,6.9,150315
Cinderella,1950-02-22,74,2900000,263591415,en,7.3,137366
Cinderella Man,2005-06-02,144,88000000,108539911,en,8.0,169922
Citizen Kane,1941-04-30,119,839727,23217674,en,8.3,376556
City Lights,1931-02-01,87,1500000,19181,xx,8.5,155333
City of Angels,1998-04-10,114,55000000,198685114,en,6.7,109595
City of God,2002-02-05,130,3300000,30641770,pt,8.6,666782
Clash of the Titans,2010-04-01,106,125000000,232713139,en,5.8,262416
Clerks,1994-09-13,92,27000,3151130,en,7.7,205912
Clerks II,2006-07-21,97,5000000,26888376,en,7.3,127083
Click,2006-06-22,107,82500000,237681299,en,6.4,292179
Cliffhanger,1993-05-28,112,70000000,255000211,en,6.4,114807
Close Encounters of the Third Kind,1977-11-16,135,20000000,303788635,en,7.6,173622
Closer,2004-12-01,104,27000000,115505027,en,7.2,195187
Cloud Atlas,2012-10-26,172,102000000,130482868,en,7.4,333675
Cloudy with a Chance of Meatballs,2009-09-17,90,100000000,242988466,en,6.9,193634
Cloverfield,2008-01-15,85,25000000,170764026,en,7.0,360156
Clueless,1995-07-19,97,12000000,56631572,en,6.8,164706
Coach Carter,2005-01-14,136,30000000,76669806,en,7.3,117531
Coco,2017-10-27,105,175000000,800526015,en,8.4,320141
Cold Mountain,2003-12-24,154,79000000,173013509,en,7.2,135119
Collateral,2004-08-04,120,65000000,217764291,en,7.5,343718
Coming to America,1988-06-29,116,39000000,288752301,en,7.0,153860
Commando,1985-10-03,90,10000000,57500000,en,6.7,138999
Con Air,1997-06-01,115,75000000,224012234,en,6.9,264744
Conan the Barbarian,1982-04-02,129,20000000,79114085,en,6.9,131931
Constantine,2005-02-08,121,100000000,230884728,en,7.0,289257
Contact,1997-07-11,150,90000000,171120329,en,7.4,242217
Contagion,2011-09-08,106,60000000,137551594,en,6.6,210465
Contraband,2012-01-12,109,25000000,63100000,en,6.5,113327
Cool Hand Luke,1967-06-22,127,3200000,16217773,en,8.1,153746
Coraline,2009-02-05,100,60000000,124596398,en,7.7,184470
Corpse Bride,2005-09-12,77,40000000,117195061,en,7.3,230747
Cowboys & Aliens,2011-07-29,119,163000000,174822325,en,6.0,200571
Coyote Ugly,2000-07-30,100,45000000,113916474,en,5.7,103075
Crank,2006-08-31,88,12000000,42931041,en,6.9,226737
Crank: High Voltage,2009-04-16,96,20000000,34560577,en,6.2,135385
Crash,2004-09-10,112,6500000,98410061,en,7.8,407916
Crazy Rich Asians,2018-08-15,121,30000000,237994561,en,6.9,118687
"Crazy, Stupid, Love.",2011-07-29,118,50000000,142851197,en,7.4,449582
Creed,2015-11-25,133,37000000,173567581,en,7.6,234856
Crimson Peak,2015-10-13,119,55000000,74679822,en,6.5,123128
"Crouching Tiger, Hidden Dragon",2000-07-06,120,17000000,213525736,zh,7.8,244982
Cruel Intentions,1999-03-05,98,10500000,75902208,en,6.8,172847
Cube,1997-09-09,90,250000,501818,en,7.2,199384
Daddy's Home,2015-12-25,96,50000000,242786137,en,6.2,101964
Dallas Buyers Club,2013-11-17,117,5000000,55198285,en,8.0,416382
Dances with Wolves,1990-11-09,181,22000000,424208848,en,8.0,228300
Dangal,2016-12-21,161,10400000,310000000,hi,8.4,135635
Daredevil,2003-02-14,103,78000000,179179718,en,5.3,201214
Dark City,1998-02-27,100,27000000,27200316,en,7.6,181134
Dark Phoenix,2019-06-05,114,200000000,245000000,en,5.8,124013
Dark Shadows,2012-05-08,113,150000000,245527149,en,6.2,237098
Darkest Hour,2017-11-22,125,30000000,147568410,en,7.4,152381
Das Boot,1981-09-16,150,14000000,85000000,de,8.3,218926
Date Night,2010-04-08,97,55000000,152263880,en,6.3,147635
Dawn of the Dead,1978-09-02,127,650000,55000000,en,7.9,106459
Dawn of the Dead,2004-03-19,101,28000000,102356381,en,7.3,225632
Dawn of the Planet of the Apes,2014-06-26,130,170000000,710644566,en,7.6,399264
Daybreakers,2009-09-11,98,20000000,51416464,en,6.4,118967
Dazed and Confused,1993-09-24,102,6900000,7993039,en,7.6,152990
Dead Poets Society,1989-06-02,128,16400000,235860116,en,8.1,391111
Deadpool,2016-02-09,108,58000000,783100000,en,8.0,858017
Deadpool 2,2018-05-10,121,110000000,741547413,en,7.7,436391
Dear John,2010-02-04,115,25000000,114977104,en,6.3,132647
